id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
481,SHSE.600000,1d,9.6684,9.8499,9.5473,9.5693,47869312,843717365.0,9.6023,2016-01-13 00:00:00+08:00,2016-01-13 00:00:00+08:00,0
482,SHSE.600000,1d,9.3547,9.8995,9.2942,9.861,54838833,966117848.0,9.5693,2016-01-14 00:00:00+08:00,2016-01-14 00:00:00+08:00,0
483,SHSE.600000,1d,9.7949,9.9875,9.6408,9.6739,46723139,836146426.0,9.861,2016-01-15 00:00:00+08:00,2016-01-15 00:00:00+08:00,0
484,SHSE.600000,1d,9.5913,9.8995,9.5308,9.7289,32729006,583291559.0,9.6739,2016-01-18 00:00:00+08:00,2016-01-18 00:00:00+08:00,0
485,SHSE.600000,1d,9.7839,9.8389,9.6298,9.7784,29807159,527753175.0,9.7289,2016-01-19 00:00:00+08:00,2016-01-19 00:00:00+08:00,0
486,SHSE.600000,1d,9.6904,9.7399,9.3987,9.4923,35968636,623546924.0,9.7784,2016-01-20 00:00:00+08:00,2016-01-20 00:00:00+08:00,0
487,SHSE.600000,1d,9.4758,9.6078,9.0796,9.1236,34197115,582845476.0,9.4923,2016-01-21 00:00:00+08:00,2016-01-21 00:00:00+08:00,0
488,SHSE.600000,1d,9.2667,9.4152,9.0741,9.3657,42007318,708179241.0,9.1236,2016-01-22 00:00:00+08:00,2016-01-22 00:00:00+08:00,0
489,SHSE.600000,1d,9.3547,9.4482,9.2006,9.3712,23558971,400445071.0,9.3657,2016-01-25 00:00:00+08:00,2016-01-25 00:00:00+08:00,0
490,SHSE.600000,1d,9.3327,9.4317,9.0245,9.1676,38279766,643611762.0,9.3712,2016-01-26 00:00:00+08:00,2016-01-26 00:00:00+08:00,0
491,SHSE.600000,1d,9.2171,9.3437,9.0851,9.1786,44291307,742640743.0,9.1676,2016-01-27 00:00:00+08:00,2016-01-27 00:00:00+08:00,0
492,SHSE.600000,1d,9.2226,9.2556,8.7384,9.1236,38902180,643984171.0,9.1786,2016-01-28 00:00:00+08:00,2016-01-28 00:00:00+08:00,0
493,SHSE.600000,1d,9.0906,9.3822,9.03,9.2997,47429000,799493381.0,9.1236,2016-01-29 00:00:00+08:00,2016-01-29 00:00:00+08:00,0
494,SHSE.600000,1d,9.3492,9.3547,9.03,9.0796,29139596,485275132.0,9.2997,2016-02-01 00:00:00+08:00,2016-02-01 00:00:00+08:00,0
495,SHSE.600000,1d,9.0796,9.3217,9.0575,9.2226,25380981,425396889.0,9.0796,2016-02-02 00:00:00+08:00,2016-02-02 00:00:00+08:00,0
496,SHSE.600000,1d,9.1346,9.1676,9.052,9.1401,27779183,459255616.0,9.2226,2016-02-03 00:00:00+08:00,2016-02-03 00:00:00+08:00,0
497,SHSE.600000,1d,9.2667,9.5308,9.1511,9.5198,47162860,799283799.0,9.1401,2016-02-04 00:00:00+08:00,2016-02-04 00:00:00+08:00,0
498,SHSE.600000,1d,9.4868,10.1196,9.4372,10.1141,78413454,1401156041.0,9.5198,2016-02-05 00:00:00+08:00,2016-02-05 00:00:00+08:00,0
499,SHSE.600000,1d,9.894,10.1691,9.7949,10.1526,67296317,1221398339.0,10.1141,2016-02-15 00:00:00+08:00,2016-02-15 00:00:00+08:00,0
500,SHSE.600000,1d,9.6353,9.6463,9.1401,9.3382,98240322,1657158636.0,10.1526,2016-03-11 00:00:00+08:00,2016-03-11 00:00:00+08:00,0
501,SHSE.600000,1d,9.2887,9.6133,9.2556,9.2777,56922239,973317374.0,9.3382,2016-03-14 00:00:00+08:00,2016-03-14 00:00:00+08:00,0
502,SHSE.600000,1d,9.3272,9.4592,9.2501,9.3657,37540932,638223050.0,9.2777,2016-03-15 00:00:00+08:00,2016-03-15 00:00:00+08:00,0
503,SHSE.600000,1d,9.3107,9.9435,9.3052,9.9215,108404378,1924212601.0,9.3657,2016-03-16 00:00:00+08:00,2016-03-16 00:00:00+08:00,0
504,SHSE.600000,1d,9.8004,10.0095,9.6023,9.7399,68635812,1219236346.0,9.9215,2016-03-17 00:00:00+08:00,2016-03-17 00:00:00+08:00,0
505,SHSE.600000,1d,9.7894,9.905,9.7124,9.8169,55987968,996332597.0,9.7399,2016-03-18 00:00:00+08:00,2016-03-18 00:00:00+08:00,0
506,SHSE.600000,1d,9.7839,10.0425,9.7839,9.938,42001532,756966797.0,9.8169,2016-03-21 00:00:00+08:00,2016-03-21 00:00:00+08:00,0
507,SHSE.600000,1d,9.9545,10.2516,9.916,9.9875,43760811,800814893.0,9.938,2016-03-22 00:00:00+08:00,2016-03-22 00:00:00+08:00,0
508,SHSE.600000,1d,9.993,10.0976,9.938,9.9765,27830795,506023215.0,9.9875,2016-03-23 00:00:00+08:00,2016-03-23 00:00:00+08:00,0
509,SHSE.600000,1d,9.9655,9.9655,9.7289,9.7509,27448272,488313660.0,9.9765,2016-03-24 00:00:00+08:00,2016-03-24 00:00:00+08:00,0
510,SHSE.600000,1d,9.7509,9.8334,9.7289,9.7619,13619185,241971869.0,9.7509,2016-03-25 00:00:00+08:00,2016-03-25 00:00:00+08:00,0
511,SHSE.600000,1d,9.7839,9.905,9.5583,9.6023,24521696,433449200.0,9.7619,2016-03-28 00:00:00+08:00,2016-03-28 00:00:00+08:00,0
512,SHSE.600000,1d,9.6463,9.7179,9.5583,9.6023,19151152,335806206.0,9.6023,2016-03-29 00:00:00+08:00,2016-03-29 00:00:00+08:00,0
513,SHSE.600000,1d,9.7124,9.8775,9.7124,9.8334,35562148,634175207.0,9.6023,2016-03-30 00:00:00+08:00,2016-03-30 00:00:00+08:00,0
514,SHSE.600000,1d,9.894,9.949,9.7509,9.8665,23762112,425380429.0,9.8334,2016-03-31 00:00:00+08:00,2016-03-31 00:00:00+08:00,0
515,SHSE.600000,1d,9.894,10.0425,9.6904,10.004,35790541,643979468.0,9.8665,2016-04-01 00:00:00+08:00,2016-04-01 00:00:00+08:00,0
516,SHSE.600000,1d,9.872,10.0646,9.7729,9.9985,42622297,768010128.0,10.004,2016-04-05 00:00:00+08:00,2016-04-05 00:00:00+08:00,0
517,SHSE.600000,1d,9.9215,9.982,9.8334,9.883,23428724,421234846.0,9.9985,2016-04-06 00:00:00+08:00,2016-04-06 00:00:00+08:00,0
518,SHSE.600000,1d,9.8775,9.905,9.7014,9.7344,29047713,516129852.0,9.883,2016-04-07 00:00:00+08:00,2016-04-07 00:00:00+08:00,0
519,SHSE.600000,1d,9.6629,9.7729,9.6463,9.6849,17132244,301704521.0,9.7344,2016-04-08 00:00:00+08:00,2016-04-08 00:00:00+08:00,0
